CNPJ;Nome;Site;Perfil;Código
00743065000127;LITEL PARTICIPACOES S.A.;;SEGMENTO BALCÃO;28001.40-7
00756851000169;BB RENDA FIXA 500 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;;SEGMENTO BALCÃO;08671.00-8
00766764000192;AGROZ AGRICOLA ZURITA  S/A;;SEGMENTO BALCÃO;14274.40-6
00776574000660;B2W - COMPANHIA DIGITAL;;SEGMENTO BALCÃO;06773.40-3
00783483000148;BANDEPE FDO.INV.FINANCEIRO-INVESTFORT;;SEGMENTO BALCÃO;23728.00-8
00787095000135;FUNDO BANESTES INVESTIMENTO EM ACOES;;SEGMENTO BALCÃO;96818.00-0
00795423000145;BANCO SEMEAR S.A;;CUSTODIANTE BALCÃO;1705
00795423000145;BANCO SEMEAR S.A;;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;50936
00795423000145;BANCO SEMEAR S.A;;PARTICIPANTE DE BALCÃO;1705
00795423000145;BANCO SEMEAR S.A;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;77430.00-5
00797355000153;CANDIDO E MORAES LTDA;;SEGMENTO BALCÃO;33449.44-9
00802235000105;FIRST S/A;;SEGMENTO BALCÃO;00344.00-3
00803287000198;COOPERATIVA DE CREDITO CREDIVAZ LTDA - SICOOB CREDIVAZ;;SEGMENTO BALCÃO;29784.00-8
00804046000163;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE CAPITOLIO LTDA - SICOOB CREDICAPI;;SEGMENTO BALCÃO;26362.00-7
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;ADMINISTRADOR DE CLUBES;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;AGENTE DE CUSTÓDIA;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;CUSTODIANTE BALCÃO;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;ESCRITURADOR;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;LIQUIDANTE;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;MEMBRO DE COMPENSAÇÃO;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;PARTICIPANTE DE BALCÃO;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;PARTICIPANTE DE NEGOCIAÇÃO PLENO;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;13552.00-2
00807777000162;DAYCOVAL RENDA FIXA FI CP;;SEGMENTO BALCÃO;08266.00-4
00813340000131;SANTANDER FICFI EXTRA RF REFERENCIADO DI;;SEGMENTO BALCÃO;23538.00-9
00813341000186;REAL FDO.INV. FINANCEIRO DI 60;;SEGMENTO BALCÃO;23568.00-0
00813342000120;SANTANDER RENDA FIXA EQUILIBRIO MAIS FIC DE FI;;SEGMENTO BALCÃO;23588.00-4
00813344000110;REAL FDO.INV. FINANCEIRO MIX 30;;SEGMENTO BALCÃO;23558.00-3
00815123000180;TRADE PRODUCAO E COMUNICACAO LTDA;;SEGMENTO BALCÃO;39209.44-9
00815319000175;COOPERATIVA DE CREDITO SUL-SERRANA DO ESPIRITO SANTO;;SEGMENTO BALCÃO;09838.00-8
00817115000173;BSB CINEMA PRODUCOES LTDA;;SEGMENTO BALCÃO;39679.44-0
00817677000117;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CREDITO PRIVADO;;SEGMENTO BALCÃO;41748.00-8
00818644000191;SANTANDER FIC FI INSTITUCIONAL II RF;;SEGMENTO BALCÃO;42958.00-0
00819855000149;WESTERN ASSET CAMBIO DOLAR SILVER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO CAMBIAL;;SEGMENTO BALCÃO;27520.00-6
00819858000182;WESTERN ASSET RF ATIVO SILVER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA;;SEGMENTO BALCÃO;27516.00-3
00819875000110;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;;SEGMENTO BALCÃO;41878.00-2
00819880000122;WESTERN ASSET CAMBIO DOLAR PRIME FIC FI CAMBIAL;;SEGMENTO BALCÃO;08893.00-6
00819889000133;WESTERN ASSET HEDGE DOLAR FI CAMBIAL;;SEGMENTO BALCÃO;41978.00-5
00822347000110;ITAU FCP LIVRE CURTO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO;;SEGMENTO BALCÃO;47328.00-6
00822954000180;ITAU B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;;SEGMENTO BALCÃO;27928.00-0
